1,-68,0.1,0,0
2,-67.8924,0.0853064,0.00332334,0.0011407
3,-67.854,0.0778432,0.00531054,0.00182768
4,-67.8238,0.0712559,0.00728963,0.00251384
5,-67.8355,0.0678885,0.00840103,0.00289935
6,-67.8549,0.064738,0.00951186,0.00328372
7,-67.8802,0.0617888,0.0106224,0.0036668
8,-67.9122,0.0590259,0.0117331,0.00404845
9,-67.9516,0.0564354,0.0128442,0.00442849
10,-67.999,0.0540044,0.0139562,0.00480675
11,-68.0551,0.0517205,0.0150696,0.00518301
12,-68.1133,0.0506549,0.0156136,0.00536558
13,-68.1789,0.049616,0.016159,0.00554722
14,-68.2519,0.0485668,0.0167255,0.00573433
15,-68.3301,0.0475436,0.0172937,0.00592033
16,-68.4137,0.0465449,0.0178639,0.00610515
17,-68.5029,0.0455695,0.0184361,0.00628874
18,-68.5978,0.0446161,0.0190107,0.00647104
19,-68.6986,0.0436835,0.0195877,0.00665198
20,-68.8055,0.0427705,0.0201673,0.00683149
21,-68.9187,0.0418759,0.0207497,0.00700952
22,-69.0383,0.0409987,0.0213352,0.00718599
23,-69.1644,0.0401378,0.0219238,0.00736084
24,-69.2973,0.0392921,0.022516,0.007534
25,-69.4372,0.0384607,0.0231118,0.0077054
26,-69.5841,0.0376426,0.0237115,0.00787498
27,-69.7383,0.0368369,0.0243154,0.00804267
28,-69.8999,0.0360428,0.0249236,0.00820841
29,-70.0692,0.0352594,0.0255366,0.00837211
30,-70.2462,0.0344858,0.0261544,0.00853373
31,-70.4311,0.0337214,0.0267775,0.00869319
32,-70.6241,0.0329655,0.0274062,0.00885042
33,-70.8254,0.0322173,0.0280406,0.00900537
34,-71.0351,0.0314762,0.0286812,0.00915796
35,-71.2534,0.0307417,0.0293283,0.00930814
36,-71.4804,0.0300131,0.0299822,0.00945585
37,-71.7164,0.0292899,0.0306433,0.00960102
38,-71.9615,0.0285717,0.031312,0.00974359
39,-72.2158,0.0278581,0.0319887,0.00988352
40,-72.4796,0.0271486,0.0326737,0.0100207
41,-72.7529,0.0264429,0.0333676,0.0101552
42,-73.036,0.0257408,0.0340707,0.0102869
43,-73.329,0.0250419,0.0347835,0.0104157
44,-73.6321,0.024346,0.0355066,0.0105416
45,-73.7986,0.0240432,0.0358251,0.0105955
46,-73.9727,0.0237395,0.0361463,0.0106486
47,-74.1625,0.0234159,0.0364904,0.0107043
48,-74.3667,0.0230753,0.0368546,0.0107618
49,-74.5838,0.0227206,0.0372363,0.0108205
50,-74.8064,0.0223645,0.037622,0.0108783
51,-75.0345,0.0220068,0.0380121,0.010935
52,-75.2681,0.0216475,0.0384065,0.0109907
53,-75.5072,0.0212867,0.0388054,0.0110454
54,-75.7519,0.0209244,0.0392091,0.011099
55,-76.0023,0.0205604,0.0396176,0.0111517
56,-76.2583,0.0201949,0.0400313,0.0112033
57,-76.52,0.0198279,0.0404501,0.0112538
58,-76.7876,0.0194594,0.0408744,0.0113033
59,-77.0609,0.0190894,0.0413043,0.0113518
60,-77.34,0.018718,0.04174,0.0113991
61,-77.625,0.0183452,0.0421817,0.0114454
62,-77.916,0.0179712,0.0426296,0.0114907
63,-78.2129,0.0175959,0.043084,0.0115348
64,-78.5158,0.0172195,0.0435451,0.0115779
65,-78.8247,0.0168421,0.0440131,0.01162
66,-79.1397,0.0164638,0.0444882,0.0116609
67,-79.4609,0.0160847,0.0449708,0.0117008
68,-79.7882,0.0157048,0.045461,0.0117396
69,-80.1217,0.0153245,0.0459592,0.0117773
70,-80.4615,0.0149437,0.0464656,0.011814
71,-80.8075,0.0145628,0.0469805,0.0118496
72,-81.1599,0.0141817,0.0475042,0.0118841
73,-81.5186,0.0138008,0.048037,0.0119176
74,-81.8838,0.0134202,0.0485793,0.01195
75,-82.2553,0.0130401,0.0491314,0.0119814
76,-82.6334,0.0126607,0.0496937,0.0120118
77,-83.018,0.0122823,0.0502664,0.0120411
78,-83.4092,0.011905,0.0508501,0.0120694
79,-83.8069,0.0115291,0.051445,0.0120967
80,-84.2113,0.0111549,0.0520517,0.012123
81,-84.6224,0.0107826,0.0526704,0.0121483
82,-85.0403,0.0104125,0.0533018,0.0121726
83,-85.4648,0.0100448,0.0539461,0.012196
84,-85.8962,0.00967986,0.054604,0.0122183
85,-86.3345,0.00931794,0.0552759,0.0122398
86,-86.7796,0.00895934,0.0559624,0.0122603
87,-87.2316,0.00860436,0.0566639,0.0122799
88,-87.6906,0.00825331,0.0573811,0.0122986
89,-88.1567,0.0079065,0.0581145,0.0123164
90,-88.6297,0.00756426,0.0588648,0.0123333
91,-89.1099,0.00722688,0.0596325,0.0123493
92,-89.5971,0.00689471,0.0604185,0.0123645
93,-90.0916,0.00656805,0.0612233,0.0123789
94,-90.5932,0.00624724,0.0620477,0.0123924
95,-91.1021,0.00593257,0.0628925,0.0124051
96,-91.6182,0.00562438,0.0637585,0.0124171
97,-92.1417,0.00532297,0.0646464,0.0124283
98,-92.6725,0.00502865,0.0655572,0.0124387
99,-93.2108,0.0047417,0.0664918,0.0124484
100,-93.7564,0.00446242,0.0674511,0.0124574
101,-94.3096,0.00419107,0.0684361,0.0124657
102,-94.8703,0.00392793,0.0694479,0.0124733
103,-95.4385,0.00367322,0.0704875,0.0124802
104,-96.0143,0.00342718,0.0715561,0.0124864
105,-96.5978,0.00319002,0.0726548,0.0124921
106,-97.1889,0.00296192,0.0737849,0.0124971
107,-97.7878,0.00274304,0.0749478,0.0125015
108,-98.3944,0.00253353,0.0761447,0.0125053
109,-99.0088,0.00233348,0.0773771,0.0125086
